%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
5338930000000,60112,5338930000000,,601.0,120000000.0,3.0
5338940000000,60113,5338940000000,,601.0,130000000.0,3.0
5338950000000,60114,5338950000000,,601.0,140000000.0,3.0
5338960000000,60115,5338960000000,,601.0,150000000.0,3.0
5338970000000,60116,5338970000000,,601.0,160000000.0,3.0
5338980000000,60117,5338980000000,,601.0,170000000.0,3.0
5338990000000,60118,5338990000000,,601.0,180000000.0,3.0
5339000000000,60119,5339000000000,,601.0,190000000.0,3.0
5339010000000,60120,5339010000000,,601.0,200000000.0,3.0
5339020000000,60121,5339020000000,,601.0,210000000.0,3.0
5339030000000,60122,5339030000000,,601.0,220000000.0,3.0
5339040000000,60123,5339040000000,,601.0,230000000.0,3.0
5339050000000,60124,5339050000000,,601.0,240000000.0,3.0
5339060000000,60125,5339060000000,,601.0,250000000.0,3.0
5339070000000,60126,5339070000000,,601.0,260000000.0,3.0
5339080000000,60127,5339080000000,,601.0,270000000.0,3.0
5339090000000,60128,5339090000000,,601.0,280000000.0,3.0
5339100000000,60129,5339100000000,,601.0,290000000.0,3.0
5339110000000,60130,5339110000000,,601.0,300000000.0,3.0
5339120000000,60131,5339120000000,,601.0,310000000.0,3.0
5339130000000,60132,5339130000000,,601.0,320000000.0,3.0
5339140000000,60133,5339140000000,,601.0,330000000.0,3.0
5339150000000,60134,5339150000000,,601.0,340000000.0,3.0
5339160000000,60135,5339160000000,,601.0,350000000.0,3.0
5339170000000,60136,5339170000000,,601.0,360000000.0,3.0
5339180000000,60137,5339180000000,,601.0,370000000.0,3.0
5339190000000,60138,5339190000000,,601.0,380000000.0,3.0
5339200000000,60139,5339200000000,,601.0,390000000.0,3.0
5339210000000,60140,5339210000000,,601.0,400000000.0,3.0
5339220000000,60141,5339220000000,,601.0,410000000.0,3.0
5339230000000,60142,5339230000000,,601.0,420000000.0,3.0
5339240000000,60143,5339240000000,,601.0,430000000.0,3.0
5339250000000,60144,5339250000000,,601.0,440000000.0,3.0
5339260000000,60145,5339260000000,,601.0,450000000.0,3.0
5339280000000,60146,5339280000000,,601.0,460000000.0,3.0
5339290000000,60147,5339290000000,,601.0,470000000.0,3.0
5339300000000,60148,5339300000000,,601.0,480000000.0,3.0
5339310000000,60149,5339310000000,,601.0,490000000.0,3.0
5339320000000,60150,5339320000000,,601.0,500000000.0,3.0
5339330000000,60151,5339330000000,,601.0,510000000.0,3.0
5339340000000,60152,5339340000000,,601.0,520000000.0,3.0
5339350000000,60153,5339350000000,,601.0,530000000.0,3.0
5339360000000,60154,5339360000000,,601.0,540000000.0,3.0
5339370000000,60155,5339370000000,,601.0,550000000.0,3.0
5339380000000,60156,5339380000000,,601.0,560000000.0,3.0
5339390000000,60157,5339390000000,,601.0,570000000.0,3.0
5339400000000,60158,5339400000000,,601.0,580000000.0,3.0
5339410000000,60159,5339410000000,,601.0,590000000.0,3.0
5339420000000,60160,5339420000000,,601.0,600000000.0,3.0
5339430000000,60161,5339430000000,,601.0,610000000.0,3.0
5339440000000,60162,5339440000000,,601.0,620000000.0,3.0
5339450000000,60163,5339450000000,,601.0,630000000.0,3.0
5339460000000,60164,5339460000000,,601.0,640000000.0,3.0
5339470000000,60165,5339470000000,,601.0,650000000.0,3.0
5339480000000,60166,5339480000000,,601.0,660000000.0,3.0
5339490000000,60167,5339490000000,,601.0,670000000.0,3.0
5339500000000,60168,5339500000000,,601.0,680000000.0,3.0
5339510000000,60169,5339510000000,,601.0,690000000.0,3.0
5339520000000,60170,5339520000000,,601.0,700000000.0,3.0
5339530000000,60171,5339530000000,,601.0,710000000.0,3.0
5339550000000,60172,5339550000000,,601.0,720000000.0,3.0
5339550000000,60173,5339550000000,,601.0,730000000.0,3.0
5339560000000,60174,5339560000000,,601.0,740000000.0,3.0
5339570000000,60175,5339570000000,,601.0,750000000.0,3.0
5339580000000,60176,5339580000000,,601.0,760000000.0,3.0
5339590000000,60177,5339590000000,,601.0,770000000.0,3.0
5339600000000,60178,5339600000000,,601.0,780000000.0,3.0
5339610000000,60179,5339610000000,,601.0,790000000.0,3.0
5339620000000,60180,5339620000000,,601.0,800000000.0,3.0
5339630000000,60181,5339630000000,,601.0,810000000.0,3.0
5339640000000,60182,5339640000000,,601.0,820000000.0,3.0
5339650000000,60183,5339650000000,,601.0,830000000.0,3.0
5339660000000,60184,5339660000000,,601.0,840000000.0,3.0
5339670000000,60185,5339670000000,,601.0,850000000.0,3.0
5339680000000,60186,5339680000000,,601.0,860000000.0,3.0
5339690000000,60187,5339690000000,,601.0,870000000.0,3.0
5339700000000,60188,5339700000000,,601.0,880000000.0,3.0
5339710000000,60189,5339710000000,,601.0,890000000.0,3.0
5339720000000,60190,5339720000000,,601.0,900000000.0,3.0
5339730000000,60191,5339730000000,,601.0,910000000.0,3.0
5339740000000,60192,5339740000000,,601.0,920000000.0,3.0
5339750000000,60193,5339750000000,,601.0,930000000.0,3.0
5339760000000,60194,5339760000000,,601.0,940000000.0,3.0
5339770000000,60195,5339770000000,,601.0,950000000.0,3.0
5339780000000,60196,5339780000000,,601.0,960000000.0,3.0
5339790000000,60197,5339790000000,,601.0,970000000.0,3.0
5339830000000,60198,5339830000000,,601.0,980000000.0,3.0
5339840000000,60199,5339840000000,,601.0,990000000.0,3.0
5339850000000,60200,5339850000000,,602.0,0.0,3.0
5339860000000,60201,5339860000000,,602.0,10000000.0,3.0
5339870000000,60202,5339870000000,,602.0,20000000.0,3.0
5339880000000,60203,5339880000000,,602.0,30000000.0,3.0
5339890000000,60204,5339890000000,,602.0,40000000.0,3.0
5339900000000,60205,5339900000000,,602.0,50000000.0001,3.0
5339910000000,60206,5339910000000,,602.0,60000000.0,3.0
5339920000000,60207,5339920000000,,602.0,70000000.0,3.0
5339930000000,60208,5339930000000,,602.0,80000000.0,3.0
5339940000000,60209,5339940000000,,602.0,90000000.0,3.0
5339950000000,60210,5339950000000,,602.0,100000000.0,3.0
5339960000000,60211,5339960000000,,602.0,110000000.0,3.0
5339970000000,60212,5339970000000,,602.0,120000000.0,3.0
5339980000000,60213,5339980000000,,602.0,130000000.0,3.0
5339990000000,60214,5339990000000,,602.0,140000000.0,3.0
5340000000000,60215,5340000000000,,602.0,150000000.0,3.0
5340010000000,60216,5340010000000,,602.0,160000000.0,3.0
5340020000000,60217,5340020000000,,602.0,170000000.0,3.0
5340030000000,60218,5340030000000,,602.0,180000000.0,3.0
5340040000000,60219,5340040000000,,602.0,190000000.0,3.0
5340050000000,60220,5340050000000,,602.0,200000000.0,3.0
